Last login: Wed Jul 29 20:42:45 on ttys002
/Users/admin/.zprofile:1: no such file or directory: /opt/homebrew/bin/brew
/Users/admin/.zprofile:2: no such file or directory: /opt/homebrew/bin/brew
/Users/admin/Desktop/TouchTablet/build_macOS/.build/arm64-apple-macosx/release/TouchPad ; exit;
admin@MacBook-Air-4 ~ % /Users/admin/Desktop/TouchTablet/build_macOS/.build/arm64-apple-macosx/release/TouchPad ; exit;
2026-07-29 21:00:23.615 TouchPad[58918:1806028] [TouchPad] Gesture: Type=ZOOM, dx=1.02, dy=0.0
2026-07-29 21:00:23.615 TouchPad[58918:1806028] [TouchPad] Zoom Executing: Factor=1.02, Lines=-12
2026-07-29 21:00:23.632 TouchPad[58918:1806028] [TouchPad] Gesture: Type=ZOOM, dx=1.01, dy=0.0
2026-07-29 21:00:23.632 TouchPad[58918:1806028] [TouchPad] Zoom Executing: Factor=1.01, Lines=-6
2026-07-29 21:00:23.648 TouchPad[58918:1806028] [TouchPad] Gesture: Type=ZOOM, dx=1.01, dy=0.0
2026-07-29 21:00:23.649 TouchPad[58918:1806028] [TouchPad] Zoom Executing: Factor=1.01, Lines=-6
2026-07-29 21:00:23.666 TouchPad[58918:1806028] [TouchPad] Gesture: Type=ZOOM, dx=1.01, dy=0.0
2026-07-29 21:00:23.666 TouchPad[58918:1806028] [TouchPad] Zoom Executing: Factor=1.01, Lines=-6
2026-07-29 21:00:23.682 TouchPad[58918:1806028] [TouchPad] Gesture: Type=ZOOM, dx=1.0, dy=0.0
2026-07-29 21:00:23.698 TouchPad[58918:1806028] [TouchPad] Gesture: Type=ZOOM, dx=1.0, dy=0.0
2026-07-29 21:00:23.715 TouchPad[58918:1806028] [TouchPad] Gesture: Type=ZOOM, dx=1.0, dy=0.0

